,회사명,상장번호
285,동성코퍼레이션,102260
286,동성화학,005190
287,동아쏘시오홀딩스,000640
288,동아에스티,170900
289,동아지질,028100
290,동아타이어,282690
291,동양,001520
292,동양2우B,001527
293,동양3우B,001529
294,동양고속,084670
295,동양물산,002900
296,동양생명,082640
297,동양우,001525
298,동양철관,008970
299,동양피스톤,092780
300,동원F&B,049770
301,동원금속,018500
302,동원산업,006040
303,동원수산,030720
304,동원시스템즈,014820
305,동원시스템즈우,014825
306,동일고무벨트,163560
307,동일산업,004890
308,동일제강,002690
309,동화약품,000020
310,두산,000150
311,두산2우B,000157
312,두산밥캣,241560
313,두산우,000155
314,두산인프라코어,042670
315,두산중공업,034020
316,두산퓨얼셀,336260
317,두산퓨얼셀1우,33626K
318,두산퓨얼셀2우B,33626L
319,두올,016740
320,드림텍,192650
321,디씨엠,024090
322,디아이,003160
323,디아이씨,092200
324,디와이,013570
325,디와이파워,210540
326,디티알오토모티브,007340
327,디피씨,026890
328,락앤락,115390
329,롯데관광개발,032350
330,롯데리츠,330590
331,롯데손해보험,000400
332,롯데쇼핑,023530
333,롯데정밀화학,004000
334,롯데정보통신,286940
335,롯데제과,280360
336,롯데지주,004990
337,롯데지주우,00499K
338,롯데칠성,005300
339,롯데칠성우,005305
340,롯데케미칼,011170
341,롯데푸드,002270
342,롯데하이마트,071840
343,마니커,027740
344,만도,204320
345,만호제강,001080
346,맥쿼리인프라,088980
347,맵스리얼티1,094800
348,메리츠금융지주,138040
349,메리츠증권,008560
350,메리츠화재,000060
351,메타랩스,090370
352,명문제약,017180
353,명신산업,009900
354,모나리자,012690
355,모나미,005360
356,모두투어리츠,204210
357,모토닉,009680
358,무림P&P,009580
359,무림페이퍼,009200
360,무학,033920
361,문배철강,008420
362,미래산업,025560
363,미래아이앤지,007120
364,미래에셋대우,006800
365,미래에셋대우2우B,00680K
366,미래에셋대우우,006805
367,미래에셋맵스리츠,357250
368,미래에셋생명,085620
369,미원상사,002840
370,미원에스씨,268280
371,미원홀딩스,107590
372,미원화학,134380
373,미창석유,003650
374,바다로19호,155900
375,방림,003610
376,백광산업,001340
377,백산,035150
378,범양건영,002410
379,베트남개발1,096300
380,벽산,007210
381,보락,002760
382,보령제약,003850
383,보해양조,000890
384,부광약품,003000
385,부국증권,001270
386,부국증권우,001275
387,부국철강,026940
388,부산가스,015350
389,부산산업,011390
390,부산주공,005030
391,비비안,002070
392,비상교육,100220
393,비케이탑스,030790
394,빅히트,352820
395,빙그레,005180
396,사조대림,003960
397,사조동아원,008040
398,사조산업,007160
399,사조씨푸드,014710
400,사조오양,006090
401,삼부토건,001470
402,삼성SDI,006400
403,삼성SDI우,006405
404,삼성공조,006660
405,삼성물산,028260
406,삼성물산우B,02826K
407,삼성바이오로직스,207940
408,삼성생명,032830
409,삼성에스디에스,018260
410,삼성엔지니어링,028050
411,삼성전기,009150
412,삼성전기우,009155
413,삼성전자,005930
414,삼성전자우,005935
415,삼성제약,001360
416,삼성중공업,010140
417,삼성중공우,010145
418,삼성증권,016360
419,삼성출판사,068290
420,삼성카드,029780
421,삼성화재,000810
422,삼성화재우,000815
423,삼아알미늄,006110
424,삼양사,145990
425,삼양사우,145995
426,삼양식품,003230
427,삼양통상,002170
428,삼양패키징,272550
429,삼양홀딩스,000070
430,삼양홀딩스우,000075
431,삼영무역,002810
432,삼영전자,005680
433,삼영화학,003720
434,삼원강재,023000
435,삼익THK,004380
436,삼익악기,002450
437,삼일씨엔에스,004440
438,삼일제약,000520
439,삼정펄프,009770
440,삼진제약,005500
441,삼천리,004690
442,삼호개발,010960
443,삼화왕관,004450
444,삼화전기,009470
445,삼화전자,011230
446,삼화콘덴서,001820
447,삼화페인트,000390
448,상상인증권,001290
449,상신브레이크,041650
450,새론오토모티브,075180
451,샘표,007540
452,샘표식품,248170
453,서연,007860
454,서연이화,200880
455,서울가스,017390
456,서울식품,004410
457,서울식품우,004415
458,서원,021050
459,서흥,008490
460,선도전기,007610
461,선진,136490
462,선창산업,002820
463,성문전자,014910
464,성문전자우,014915
465,성보화학,003080
466,성신양회,004980
467,성신양회우,004985
468,성안,011300
469,성창기업지주,000180
470,세기상사,002420
471,세방,004360
472,세방우,004365
473,세방전지,004490
474,세아베스틸,001430
475,세아제강,306200
476,세아제강지주,003030
477,세아특수강,019440
478,세아홀딩스,058650
479,세우글로벌,013000
480,세원셀론텍,091090
481,세원정공,021820
482,세이브존I&C,067830
483,세종공업,033530
484,세진중공업,075580
485,세하,027970
486,세화아이엠씨,145210
487,센트랄모텍,308170
488,센트럴인사이트,012600
489,셀트리온,068270
490,솔루스첨단소재,336370
491,솔루스첨단소재1우,33637K
492,솔루스첨단소재2우B,33637L
493,솔루엠,248070
494,송원산업,004430
495,수산중공업,017550
496,스카이라이프,053210
497,시디즈,134790
498,신대양제지,016590
499,신도리코,029530
500,신라교역,004970
501,신성이엔지,011930
502,신성통상,005390
503,신세계,004170
504,신세계 I&C,035510
505,신세계건설,034300
506,신세계인터내셔날,031430
507,신세계푸드,031440
508,신송홀딩스,006880
509,신영와코루,005800
510,신영증권,001720
511,신영증권우,001725
512,신원,009270
513,신원우,009275
514,신일전자,002700
515,신풍제약,019170
516,신풍제약우,019175
517,신풍제지,002870
518,신한알파리츠,293940
519,신한지주,055550
520,신화실업,001770
521,신흥,004080
522,쌍방울,102280
523,쌍용양회,003410
524,쌍용차,003620
525,써니전자,004770
526,쎌마테라퓨틱스,015540
527,씨아이테크,004920
528,씨에스윈드,112610
529,아남전자,008700
530,아모레G,002790
531,아모레G3우(전환),00279K
532,아모레G우,002795
533,아모레퍼시픽,090430
534,아모레퍼시픽우,090435
535,아세아,002030
536,아세아시멘트,183190
537,아세아제지,002310
538,아시아나IDT,267850
539,아시아나항공,020560
540,아이마켓코리아,122900
541,아이에스동서,010780
542,알루코,001780
543,애경산업,018250
544,애경유화,161000
545,에넥스,011090
546,에스엘,005850
547,에스원,012750
548,에쓰씨엔지니어링,023960
549,에어부산,298690
550,에이리츠,140910
551,에이블씨엔씨,078520
552,에이엔피,015260
553,에이프로젠 KIC,007460
554,에이프로젠제약,003060
555,에이플러스에셋,244920
556,엔씨소프트,036570
557,엔에스쇼핑,138250
558,엔케이,085310
559,엔케이물산,009810
560,엘브이엠씨홀딩스,900140
561,영보화학,014440
562,영원무역,111770
563,영원무역홀딩스,009970
564,영진약품,003520
565,영풍,000670
566,영풍제지,006740
567,영화금속,012280
568,영흥,012160
569,예스코홀딩스,015360
570,오뚜기,007310
571,오리엔트바이오,002630
572,오리온,271560
573,오리온홀딩스,001800
574,용평리조트,070960
575,우리금융지주,316140
576,우리금융캐피탈,033660
577,우리들제약,004720
578,우리들휴브레인,118000
579,우리종금,010050
580,우성사료,006980
581,우신시스템,017370
582,우진,105840
583,우진아이엔에스,010400
584,우진플라임,049800
585,웅진,016880
586,웅진씽크빅,095720
587,원림,005820
588,웰바이오텍,010600
589,윌비스,008600
590,유나이티드제약,033270
591,유니드,014830
592,유니온,000910
593,유니온머티리얼,047400
594,유니켐,011330
595,유니퀘스트,077500
596,유성기업,002920
597,유수홀딩스,000700
598,유안타증권,003470
599,유안타증권우,003475
600,유양디앤유,011690
601,유엔젤,072130
602,유유제약,000220
603,유유제약1우,000225
604,유유제약2우B,000227
605,유진투자증권,001200
606,유한양행,000100
607,유한양행우,000105
608,유화증권,003460
609,유화증권우,003465
610,율촌화학,008730
611,이건산업,008250
612,이구산업,025820
613,이노션,214320
614,이리츠코크렙,088260
615,이마트,139480
616,이수페타시스,007660
617,이수화학,005950
618,이스타코,015020
619,이아이디,093230
620,이엔플러스,074610
621,이연제약,102460
622,이월드,084680
623,이지스레지던스리츠,350520
624,이지스밸류리츠,334890
625,이화산업,000760
626,인디에프,014990
627,인바이오젠,101140
628,인스코비,006490
629,인지컨트롤스,023800
630,인천도시가스,034590
631,인터지스,129260
632,인팩,023810
633,일동제약,249420
634,일동홀딩스,000230
635,일성건설,013360
636,일성신약,003120
637,일신방직,003200
638,일신석재,007110
639,일양약품,007570
640,일양약품우,007575
641,일정실업,008500
642,일진다이아,081000
643,일진디스플,020760
644,일진머티리얼즈,020150
645,일진전기,103590
646,일진홀딩스,015860
647,잇츠한불,226320
648,자이에스앤디,317400
649,자화전자,033240
650,전방,000950
651,제이알글로벌리츠,348950
652,제이에스코퍼레이션,194370
653,제이준코스메틱,025620
654,제이콘텐트리,036420
655,제일기획,030000
656,제일약품,271980
657,제일연마,001560
658,제일파마홀딩스,002620
659,제주은행,006220
660,제주항공,089590
661,조광페인트,004910
662,조광피혁,004700
663,조비,001550
664,조선내화,000480
665,조선선재,120030
666,조일알미늄,018470
667,조흥,002600
668,종근당,185750
669,종근당바이오,063160
670,종근당홀딩스,001630
671,주연테크,044380
672,지누스,013890
673,지엠비코리아,013870
674,지역난방공사,071320
675,지코,010580
676,지투알,035000
677,진도,088790
678,진양산업,003780
679,진양폴리,010640
680,진양홀딩스,100250
681,진양화학,051630
682,진에어,272450
683,진원생명과학,011000
684,진흥기업,002780
685,진흥기업2우B,002787
686,진흥기업우B,002785
687,참엔지니어링,009310
688,천일고속,000650
689,체시스,033250
690,카카오,035720
691,카프로,006380
692,컨버즈,109070
693,케이비아이동국실업,001620
694,케이씨,029460
695,케이씨씨글라스,344820
696,케이씨텍,281820
697,케이탑리츠,145270
698,코람코에너지리츠,357120
699,코리아써우,007815
700,코리아써키트,007810
701,코리아써키트2우B,00781K
702,코리안리,003690
703,코스맥스,192820
704,코스맥스비티아이,044820
705,코스모신소재,005070
706,코스모화학,005420
707,코아스,071950
708,코오롱,002020
709,코오롱글로벌,003070
710,코오롱글로벌우,003075
711,코오롱머티리얼,144620
712,코오롱우,002025
713,코오롱인더,120110
714,코오롱인더우,120115
715,코오롱플라스틱,138490
716,코웨이,021240
717,콤텍시스템,031820
718,쿠쿠홀딩스,192400
719,쿠쿠홈시스,284740
720,큐로,015590
721,크라운제과,264900
722,크라운제과우,26490K
723,크라운해태홀딩스,005740
724,크라운해태홀딩스우,005745
725,키다리스튜디오,020120
726,키움증권,039490
727,키위미디어그룹,012170
728,태경비케이,014580
729,태경산업,015890
730,태경케미컬,006890
731,태광산업,003240
732,태림포장,011280
733,태양금속,004100
734,태양금속우,004105
735,태영건설,009410
736,태영건설우,009415
737,태원물산,001420
738,태평양물산,007980
739,테이팩스,055490
740,텔코웨어,078000
741,토니모리,214420
742,티에이치엔,019180
743,티와이홀딩스,363280
744,티와이홀딩스우,36328K
745,티웨이항공,091810
746,티웨이홀딩스,004870
747,파미셀,005690
748,팜스코,036580
749,팬오션,028670
750,퍼스텍,010820
751,퍼시스,016800
752,페이퍼코리아,001020
753,평화산업,090080
754,평화홀딩스,010770
755,포스코강판,058430
756,포스코인터내셔널,047050
757,포스코케미칼,003670
758,폴루스바이오팜,007630
759,풀무원,017810
760,풍산,103140
761,풍산홀딩스,005810
762,프레스티지바이오파마,950210
763,필룩스,033180
764,하나금융지주,086790
765,하나제약,293480
766,하나투어,039130
767,하이골드12호,172580
768,하이골드3호,153360
769,하이스틸,071090
770,하이트론,019490
771,하이트진로,000080
772,하이트진로2우B,000087
773,하이트진로홀딩스,000140
774,하이트진로홀딩스우,000145
775,한국ANKOR유전,152550
776,한국가스공사,036460
777,한국공항,005430
778,한국금융지주,071050
779,한국금융지주우,071055
780,한국내화,010040
781,한국단자,025540
782,한국석유,004090
783,한국수출포장,002200
784,한국쉘석유,002960
785,한국앤컴퍼니,000240
786,한국자산신탁,123890
787,한국전력,015760
788,한국전자홀딩스,006200
789,한국조선해양,009540
790,한국종합기술,023350
791,한국주강,025890
792,한국주철관,000970
793,한국철강,104700
794,한국카본,017960
795,한국콜마,161890
796,한국콜마홀딩스,024720
797,한국타이어앤테크놀로지,161390
798,한국토지신탁,034830
799,한국특수형강,007280
800,한국패러랠,168490
801,한국프랜지,010100
802,한국항공우주,047810
803,한국화장품,123690
804,한국화장품제조,003350
805,한농화성,011500
806,한독,002390
807,한라,014790
808,한라홀딩스,060980
809,한미글로벌,053690
810,한미반도체,042700
811,한미사이언스,008930
812,한미약품,128940
813,한샘,009240
814,한섬,020000
815,한성기업,003680
816,한세실업,105630
817,한세엠케이,069640
818,한세예스24홀딩스,016450
819,한솔PNS,010420
820,한솔로지스틱스,009180
821,한솔제지,213500
822,한솔케미칼,014680
823,한솔테크닉스,004710
824,한솔홀딩스,004150
825,한솔홈데코,025750
826,한신공영,004960
827,한신기계,011700
828,한양증권,001750
829,한양증권우,001755
830,한온시스템,018880
831,한올바이오파마,009420
832,한익스프레스,014130
833,한일시멘트,300720
834,한일철강,002220
835,한일현대시멘트,006390
836,한일홀딩스,003300
837,한전KPS,051600
838,한전기술,052690
839,한전산업,130660
840,한진,002320
841,한진중공업,097230
842,한진중공업홀딩스,003480
843,한진칼,180640
844,한진칼우,18064K
845,한창,005110
846,한창제지,009460
847,한화,000880
848,한화3우B,00088K
849,한화생명,088350
850,한화손해보험,000370
851,한화솔루션,009830
852,한화솔루션우,009835
853,한화시스템,272210
854,한화에어로스페이스,012450
855,한화우,000885
856,한화투자증권,003530
857,한화투자증권우,003535
858,해성디에스,195870
859,해태제과식품,101530
860,핸즈코퍼레이션,143210
861,현대건설,000720
862,현대건설기계,267270
863,현대건설우,000725
864,현대그린푸드,005440
865,현대글로비스,086280
866,현대로템,064350
867,현대리바트,079430
868,현대모비스,012330
869,현대미포조선,010620
870,현대백화점,069960
871,현대비앤지스틸,004560
872,현대비앤지스틸우,004565
873,현대상사,011760
874,현대약품,004310
875,현대에너지솔루션,322000
876,현대엘리베이,017800
877,현대오토에버,307950
878,현대위아,011210
879,현대일렉트릭,267260
880,현대제철,004020
881,현대중공업지주,267250
882,현대차,005380
883,현대차2우B,005387
884,현대차3우B,005389
885,현대차우,005385
886,현대차증권,001500
887,현대코퍼레이션홀딩스,227840
888,현대퓨처넷,126560
889,현대해상,001450
890,현대홈쇼핑,057050
891,형지엘리트,093240
892,혜인,003010
893,호전실업,111110
894,호텔신라,008770
895,호텔신라우,008775
896,화성산업,002460
897,화승알앤에이,378850
898,화승엔터프라이즈,241590
899,화승인더,006060
900,화승코퍼레이션,013520
901,화신,010690
902,화인베스틸,133820
903,화천기계,010660
904,화천기공,000850
905,환인제약,016580
906,황금에스티,032560
907,효성,004800
908,효성ITX,094280
909,효성중공업,298040
910,효성첨단소재,298050
911,효성티앤씨,298020
912,효성화학,298000
913,후성,093370
914,휠라홀딩스,081660
915,휴니드,005870
916,휴비스,079980
917,휴스틸,005010
918,휴켐스,069260
919,흥국화재,000540
920,흥국화재2우B,000547
921,흥국화재우,000545
922,흥아해운,003280
